2026 WA Information,,,,,,,,,
Index Number,Class,English WA,English WA Topic,Maths WA,Maths WA Topic,Science WA,Science WA Topic,Mother Tongue WA,Mother Tongue WA Topic
1,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
2,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
3,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
4,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
5,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
6,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
7,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
8,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
9,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
10,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
11,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
12,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
13,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
14,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
15,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
16,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
17,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
18,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
19,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
20,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
21,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
22,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
23,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
24,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
25,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
26,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
27,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
28,3P,2-Mar,Oral,3-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
1,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
2,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
3,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
4,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
5,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
6,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
7,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
8,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
9,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
10,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
11,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
12,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
13,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
14,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
15,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
16,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
17,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
18,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
19,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
20,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
21,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
22,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
23,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
24,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
25,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
26,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
27,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
28,3I,5-Mar,Oral,5-Mar,Multiplication,46071,Diversity of Living & Non Living Things,9-Mar,Oral
1,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
2,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
3,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
4,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
5,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
6,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
7,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
8,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
9,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
10,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
11,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
12,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
13,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
14,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
15,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
16,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
17,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
18,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
19,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
20,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
21,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
22,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,exempted. ,Oral
23,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
24,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
25,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
26,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
27,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
28,3R,28-Feb,Oral,17-Mar,Multiplication,10-Mar,Diversity of Living & Non Living Things,exempted,Oral
1,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
2,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
3,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
4,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
5,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
6,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
7,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
8,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
9,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
10,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
11,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
12,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
13,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
14,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
15,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
16,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
17,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
18,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
19,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
20,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
21,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
22,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
23,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
24,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
25,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
26,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
27,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
28,3E,5-Mar,Oral,27-Feb,Multiplication,9-Mar,Diversity of Living & Non Living Things,9-Mar,Oral
1,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
2,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
3,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
4,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
5,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
6,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
7,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
8,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
9,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
10,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
11,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
12,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
13,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
14,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
15,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
16,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
17,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
18,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
19,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
20,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
21,4P,2-Mar,Grammer,3-Mar,Fractions,10-Mar,Matter,11-Mar,Oral
